claim,evidence_source,metric,ndu_value,comparator_value,margin,status,interpretation
validation_cover_stability_guard,validation_cover_stability_guard_audit.csv,validation_density_and_greedy_tail_guard,2.0,2.0,0.0,validation_cover_stability_guard_pass,Both large neural validation-cover rows pass finite-sample stability guards: Exp I density 0.020 with greedy tail ratio 1.49; inventory density 0.083 with greedy tail ratio 4.09; residual/terminal thresholds and held-out rollout guards are also satisfied.
strong_form_generalized_rl_hjb_solver_claim_closure,strong_form_generalized_rl_hjb_solver_claim_audit.csv,strong_form_claim_pillars_passed,6.0,6.0,0.0,strong_form_generalized_rl_hjb_solver_claim_pass,"Six independent pillars jointly close the title-level claim: policy-class generalization, proof-certified HJB-solver core, cover refinement, validation-cover neural guards, direct-P shadow-price representation, and same-information rollout support."
fixed_preference_noncollapse_under_positive_margin,generalized_rl_noncollapse_audit.csv,noncollapse_guards_passed,5.0,5.0,0.0,fixed_preference_noncollapse_pass,"Five theorem-linked guards show that NDU is not merely a state-augmented fixed-preference re-description: exact policy-class, exact valuation-MDP, finite-cover, same-budget, and PyTorch-AD NBO rows record positive valuation-control margins or documented parity boundaries."
state_augmentation_reward_shaping_equivalence_exclusion,reward_shaping_state_augmentation_closure_audit.csv,state_reward_closure_guards_passed,5.0,5.0,0.0,state_reward_equivalence_exclusion_pass,"Five referee-facing guards close the equivalence objection: same-evaluator positive margin, augmented fixed-theta face containment, theta-free physical-cost separation, same-protocol fairness, and HJB/NBO solver evidence rule out treating the Full NDU gain as mere state augmentation or reward shaping."
strict_policy_face_hierarchy_joint_control_necessity,policy_class_face_hierarchy_audit.csv,face_hierarchy_guards_passed,5.0,5.0,0.0,strict_policy_face_hierarchy_pass,"Five hierarchy guards show that Full NDU strictly exceeds action-only and valuation-only frozen/single-channel faces, preserves exact finite-cover HJB certificates, improves through cover refinement, and has consistent service-pressure diagnostics and closure-stack support."
referee_full_support_generalized_rl_hjb_solver_synthesis,referee_full_support_synthesis_audit.csv,full_support_synthesis_guards_passed,8.0,8.0,0.0,referee_full_support_synthesis_pass,"Eight synthesis guards connect the generalized-RL definition, anti-relabeling closure, strict face hierarchy, HJB certificate stack, validation-cover neural route, direct-P shadow-price representation, same-information empirical support, and artifact traceability into a single referee-facing support matrix."
direct_p_over_z_hjb_conditioning,inventory_direct_p_vs_z_metrics.csv,epsilon_0.001_z_theta_rmse_ratio,19.6443998295,1.0,18.6443998295,same_benchmark_conditioning_gain,"On the same inventory benchmark, Z inversion amplifies theta error by 19.64x at epsilon=0.001 and loses 0.1020 welfare relative to direct-P."
direct_p_value_gradient_vs_learned_z_solver_ablation,inventory_direct_p_learned_z_ablation.csv,epsilon_0.001_learned_z_theta_rmse_ratio,27.6538247249,1.0,26.6538247249,isomorphic_learned_representation_ablation_pass,"With identical inventory states, features, ridge budget, policy map, and evaluation seeds, learned-Z inversion has 27.65x theta RMSE and loses 0.0503 welfare relative to learned direct-P at epsilon=0.001."
neural_direct_p_vs_learned_z_retraining_ablation,inventory_neural_direct_p_learned_z_ablation.csv,epsilon_0.001_neural_z_theta_rmse_ratio,21.3377019006,1.0,20.3377019006,same_architecture_neural_retraining_ablation_pass,"With identical trainable tanh-MLP architecture, optimizer budget, inventory state cloud, policy map, and evaluation seeds, neural learned-Z inversion has 21.34x theta RMSE, 23.63x P RMSE, and loses 0.0696 welfare relative to neural direct-P at epsilon=0.001."
hbo_nbo_generalized_rl_suite_gain_count,nbo_full_ndu_solver_audit.csv + hbo_exp3_parity_closing_audit.csv,positive_or_parity_feasible_rows,4.0,4.0,0.0,four_feasible_gains_after_exp3_same_budget_sensitivity,"Full NDU has positive held-out valuation gains in Exp I, Exp II, inventory, and the selected same-architecture Exp III sensitivity audit; the privileged hidden-factor reference remains outside the feasible information set."
hbo_nbo_exp1_generalized_rl_gain,nbo_full_ndu_solver_audit.csv,mean_utility_gap,-2.796595573378198,-3.1903186112796464,0.393723037901,strict_hbo_nbo_gain,Full NDU actor--critic improves the fixed-preference HBO/NBO actor in the habit-portfolio benchmark.
hbo_nbo_inventory_generalized_rl_gain,nbo_full_ndu_solver_audit.csv,mean_welfare_gap,-3.637521018572943,-4.303091324823808,0.665570306251,strict_hbo_nbo_inventory_gain,Full NDU actor--critic improves the action-only inventory HBO/NBO actor and the fixed-service reference on service-pressure welfare.
hbo_nbo_exp1_residual_certificate_gap_closed,hbo_residual_closing_audit.csv,native_hjb_loss_ratio_vs_headline,0.13900092801,1.0,0.86099907199,residual_closed_with_terminal_guardrail,"Stronger Exp I residual-closing run reduces native HJB loss to 13.9% of headline, halves terminal loss, and preserves held-out utility."
hbo_nbo_inventory_residual_certificate_gap_closed,hbo_residual_closing_audit.csv,native_hjb_loss_ratio_vs_headline,0.192341487123,1.0,0.807658512877,residual_closed_with_terminal_guardrail,"Stronger inventory residual-closing run reduces native HJB loss to 19.2% of headline, lowers terminal loss, and preserves held-out welfare."
hbo_nbo_inventory_normalized_residual_gap_closed,hbo_inventory_normalized_residual_audit.csv,normalized_rmse_ratio_vs_headline,0.979300855398,1.0,0.020699144601999953,normalized_residual_improved_with_native_and_welfare_guard,"Inventory Pareto actor run lowers normalized RMSE below headline while reducing native HJB to 25.1%, reducing terminal loss, and preserving held-out welfare."
hbo_nbo_exp3_same_budget_gap_closed,hbo_exp3_parity_closing_audit.csv,mean_utility_gap_vs_feasible_fixed_pref,0.00022854640069799176,0.0,0.00022854640069799176,same_architecture_same_budget_positive_gap,"A selected non-oracle same-architecture PyTorch-AD HBO/NBO Exp III run (1500 steps, 60 paired seeds) turns the prior feasible-comparator parity into a positive Full-minus-fixed gap while the privileged factor reference remains outside the feasible information set."
